Mart Tamm | B1 | kiri
Toivo Lukk | B1 | lumi
Mart Oja | B1 | rohi
Annika Kivi | B1 | puud
Anu Kask | G1 | suur
Toivo Sild | G1 | sõna
Anu Oja | G1 | suur
Tanel Kivi | G1 | tere
Kaie Luik | C1 | kiri
Anu Ruut | C1 | jala
Kertu Sepp | C1 | lumi
Ene Auk | C1 | tuba
Tiina Vokk | F1 | tuba
Sander Piir | F1 | sõna
Kristi Saar | F1 | jook
Tanel Vaher | F1 | kook
Tiina Oja | E1 | lill
Indrek Piir | E1 | silm
Ene Kask | E1 | puud
Toivo Rebane | E1 | rohi
Toivo Vaher | B2 | kook
Kristi Tiik | B2 | mari
Rasmus Piir | B2 | mari
Ene Sepp | B2 | rohi
Indrek Ruut | C2 | külm
Toivo Ruut | C2 | jook
Liis Sepp | C2 | külm
Toivo Auk | C2 | puud
Toivo Saar | D | talu
Tiina Järv | D | silm
Kertu Järv | D | pilt
Liis Tiik | D | lumi
Kristi Põld | F2 | tere
Tanel Oja | F2 | kiri
Annika Vokk | F2 | mari
Toivo Põld | F2 | tuli
Mait Kask | E2 | puud
Mart Põld | E2 | nina
Andres Org | E2 | rohi
Liis Vokk | E2 | sõna
